Time (ms),Trajectory 1
0,0
17,0.00166034698486328
33,0.0048828125
50,0.0109472274780273
67,0.0202608108520508
83,0.0317831039428711
100,0.0434913635253906
117,0.0536727905273438
133,0.0615234375
150,0.0668039321899414
167,0.0695066452026367
183,0.0698671340942383
200,0.0684309005737305
217,0.0659904479980469
233,0.0633707046508789
250,0.0611486434936523
267,0.0595512390136719
283,0.0585622787475586
300,0.0580530166625977
317,0.0578641891479492
333,0.057856559753418
350,0.0579280853271484
367,0.0580120086669922
383,0.058074951171875
400,0.0581045150756836
417,0.0580997467041016
433,0.0580673217773438
450,0.0580148696899414
467,0.0579500198364258
483,0.0578775405883789
500,0.0578031539916992
517,0.0577287673950195
533,0.0576572418212891
550,0.0575933456420898
567,0.0575418472290039
583,0.0575094223022461
600,0.0575027465820313
617,0.0575246810913086
633,0.0575685501098633
650,0.057612419128418
667,0.0576095581054688
683,0.0574798583984375
700,0.0571107864379883
717,0.0563592910766602
733,0.0550870895385742
750,0.0532169342041016
767,0.0508365631103516
783,0.0482654571533203
800,0.0459403991699219
817,0.0441732406616211
833,0.0430421829223633
850,0.0424766540527344
867,0.0423698425292969
883,0.0426445007324219
900,0.0432796478271484
917,0.0443086624145508
933,0.0457773208618164
950,0.0476808547973633
967,0.0498523712158203
983,0.0519094467163086
1000,0.0533943176269531
1017,0.0540714263916016
1033,0.0541086196899414
1050,0.0540018081665039
1067,0.0542631149291992
1083,0.0550365447998047
1100,0.0560779571533203
1117,0.0570716857910156
1133,0.0578498840332031
1150,0.0583791732788086
1167,0.0586929321289063
1183,0.0588512420654297
1200,0.0589122772216797
1217,0.058924674987793
1233,0.0589189529418945
1250,0.0589151382446289
1267,0.0589199066162109
1283,0.0589370727539063
1300,0.0589637756347656
1317,0.0589962005615234
1333,0.0590324401855469
1350,0.0590686798095703
1367,0.0591039657592773
1383,0.0591373443603516
1400,0.059168815612793
1417,0.0591974258422852
1433,0.0592250823974609
1450,0.0592508316040039
1467,0.0592765808105469
1483,0.0593013763427734
1500,0.059326171875
1517,0.0593490600585938
1533,0.0593709945678711
1550,0.0593900680541992
1567,0.0594062805175781
1583,0.0594186782836914
1600,0.0594272613525391
1617,0.0594329833984375
1633,0.0594377517700195
1650,0.059443473815918
1667,0.0594568252563477
1683,0.0594844818115234
1700,0.0595378875732422
1717,0.0596284866333008
1733,0.0597629547119141
1750,0.0599422454833984
1767,0.0601415634155273
1783,0.060307502746582
1800,0.060338020324707
1817,0.0600748062133789
1833,0.0593080520629883
1850,0.0578060150146484
1867,0.0553903579711914
1883,0.0520620346069336
1900,0.0481986999511719
1917,0.0448141098022461
1933,0.0438318252563477
1950,0.0482807159423828
1967,0.062251091003418
1983,0.0903654098510742
2000,0.136445999145508
2017,0.201725959777832
2033,0.283705711364746
2050,0.376181602478027
2067,0.470520973205566
2083,0.557806968688965
2100,0.630998611450195
2117,0.686473846435547
2133,0.72443675994873
2150,0.748154640197754
2167,0.762510299682617
2183,0.772307395935059
2200,0.780906677246094
2217,0.789576530456543
2233,0.797926902770996
2250,0.805068969726563
2267,0.810440063476563
2283,0.813986778259277
2300,0.816018104553223
2317,0.816980361938477
2333,0.817285537719727
2350,0.817227363586426
2367,0.816965103149414
2383,0.816540718078613
2400,0.815910339355469
2417,0.815011024475098
2433,0.813826560974121
2450,0.81248950958252
2467,0.811393737792969
2483,0.811306953430176
2500,0.813449859619141
2517,0.819479942321777
2533,0.831266403198242
2550,0.85041618347168
2567,0.877566337585449
2583,0.91169548034668
2600,0.950039863586426
2617,0.988759994506836
2633,1.02411556243896
2650,1.05367851257324
2667,1.07680320739746
2683,1.09423351287842
2700,1.10738372802734
2717,1.11759853363037
2733,1.12563228607178
2750,1.13145732879639
2767,1.13450622558594
2783,1.13425922393799
2800,1.13090419769287
2817,1.12578773498535
2833,1.12133884429932
2850,1.12056541442871
2867,1.12671375274658
2883,1.14304351806641
2900,1.17219352722168
2917,1.21517848968506
2933,1.27073860168457
2950,1.33535957336426
2967,1.40391159057617
2983,1.47074031829834
3000,1.53082370758057
3017,1.58075618743896
3033,1.61931610107422
3050,1.64744472503662
3067,1.66742324829102
3083,1.68159580230713
3100,1.69152927398682
3117,1.69790458679199
3133,1.70086669921875
3150,1.70053672790527
3167,1.69735717773438
3183,1.69217491149902
3200,1.68616676330566
3217,1.68076229095459
3233,1.67778587341309
3250,1.67974758148193
3267,1.6899938583374
3283,1.71241569519043
3300,1.75046062469482
3317,1.80569171905518
3333,1.87670612335205
3350,1.95892143249512
3367,2.04550075531006
3383,2.1290864944458
3400,2.20334434509277
3417,2.2639627456665
3433,2.30929851531982
3450,2.34053230285645
3467,2.36088562011719
3483,2.37411403656006
3500,2.38328838348389
3517,2.39025115966797
3533,2.39568042755127
3550,2.39953899383545
3567,2.40152168273926
3583,2.40142917633057
3600,2.39961051940918
3617,2.39739322662354
3633,2.39717483520508
3650,2.40221118927002
3667,2.41650581359863
3683,2.44460010528564
3700,2.49050712585449
3717,2.55591011047363
3733,2.63871097564697
3750,2.73267650604248
