Time (ms),Trajectory 1
0,-0.00250817835331
17,0.146484360098839
33,0.295476898550987
50,0.455007523298264
67,0.594444225231806
83,0.659561097621918
100,0.631523092587789
117,0.530528992414474
133,0.391464218497276
150,0.241775495310624
167,0.099706642329693
183,-0.018892288208008
200,-0.100126259028912
217,-0.137786852816741
233,-0.137214648226897
250,-0.112476338942846
267,-0.079040521134933
283,-0.047826762621601
300,-0.023927686580767
317,-0.008306502558601
333,0.000228881797132
350,0.003662109180974
367,0.003948211437091
383,0.002641677759433
400,0.000801086328768
417,-0.000972747744527
433,-0.002393722378959
450,-0.003395080411186
467,-0.00401496879446
483,-0.004329681396484
500,-0.004415512084961
517,-0.004301071166992
533,-0.00396728507864
550,-0.003347396695366
567,-0.00238418559699
583,-0.001077651870825
600,0.000419616728323
617,0.001688003452728
633,0.001945495489053
650,-3.81470890715718E-05
667,-0.005903243746919
683,-0.017518996881942
700,-0.036430357334515
717,-0.06286620721221
733,-0.094165798276663
750,-0.123443596065044
767,-0.140981664260228
783,-0.139398562411467
800,-0.118865956862768
817,-0.086870187272628
833,-0.052671428148945
850,-0.022010801515232
867,0.004053115689506
883,0.027418134578814
900,0.050716395800312
917,0.075340264787277
933,0.099449150264263
950,0.116758341590563
967,0.118455881873767
983,0.099325177570184
1000,0.064182278389732
1017,0.028066634510954
1033,0.007991789995382
1050,0.011196135698507
1067,0.030040738948931
1083,0.04884719538192
1100,0.056219097226858
1117,0.051145549863577
1133,0.039224621529381
1150,0.026226041528086
1167,0.015344618664434
1183,0.007648467551917
1200,0.002994537193445
1217,0.000705718998991
1233,-1.90734820838164E-05
1250,0.000133514393989
1267,0.00066757196267
1283,0.001249313257479
1300,0.001716613691921
1317,0.002002716025648
1333,0.002126693725586
1350,0.002126693725586
1367,0.002050399741468
1383,0.001935958784694
1400,0.001811981084757
1417,0.001697540166788
1433,0.001611709478311
1450,0.001554489019327
1467,0.001516342046671
1483,0.001478195074014
1500,0.00142097461503
1517,0.001335143926553
1533,0.001211166304226
1550,0.001049041689839
1567,0.000848770102796
1583,0.000638961743486
1600,0.00045776363307
1617,0.000352859467966
1633,0.000400543174086
1650,0.000705718926232
1667,0.001411437852463
1683,0.002660751226358
1700,0.004501342540607
1717,0.006828307639807
1733,0.009174346147726
1750,0.010576247237623
1767,0.009403227983663
1783,0.003290176081161
1800,-0.01066207823654
1817,-0.035314559160421
1833,-0.072164532418052
1850,-0.119304649531841
1867,-0.168533312777678
1883,-0.201835617423058
1900,-0.188064565261205
1917,-0.081481931110223
1933,0.175189969440301
1950,0.639705615739028
1967,1.34698863824209
1983,2.2764014005661
2000,3.328151623408
2017,4.33075881004333
2033,5.0853058497111
