Time (ms),Trajectory biped,Trajectory tripod
11517,14.81036874,11.57329219
11533,14.81341868,11.611448
11550,14.81628213,11.65024351
11567,14.81794736,11.68603694
11583,14.8197993,11.71611171
11600,14.82752175,11.73884137
11617,14.84464338,11.75361192
11633,14.87475832,11.76079799
11650,14.92061921,11.76158901
11667,14.98287775,11.76585391
11683,15.05937421,11.77373954
11700,15.14539868,11.7839603
11717,15.23487436,11.79526595
11733,15.32191355,11.8063955
11750,15.40155815,11.81599073
11767,15.46982382,11.82253331
11783,15.52431918,11.82538708
11800,15.56515692,11.83239459
11817,15.5944221,11.84772944
11833,15.61438661,11.871901
11850,15.62661719,11.90360872
11867,15.63275052,11.93992355
11883,15.63595054,11.9770476
11900,15.6389243,12.01139503
11917,15.64081096,12.04027223
11933,15.64214239,12.06207397
11950,15.64470105,12.07626266
11967,15.64753339,12.08329641
11983,15.64959413,12.08439735
12000,15.6505182,12.08802095
12017,15.65338442,12.09509476
12033,15.66178605,12.10463424
12050,15.67933048,12.1156307
12067,15.70973202,12.12683407
12083,15.75568312,12.13667823
12100,15.81744008,12.14347623
12117,15.8920278,12.14718767
12133,15.97358629,12.15537445
12150,16.05500304,12.17189112
12167,16.13009806,12.19721895
12183,16.19467482,12.23002767
12200,16.24600019,12.26732383
12217,16.28254562,12.30507571
12233,16.30536119,12.33900506
12250,16.31919477,12.36511659
12267,16.33012104,12.38081682
12283,16.34052294,12.3868233
12300,16.35072706,12.39298633
12317,16.36064951,12.40373722
12333,16.36955367,12.41641719
12350,16.37687494,12.42835298
12367,16.3826124,12.43710128
12383,16.3871276,12.44039139
12400,16.39096489,12.44574273
12417,16.39443257,12.46022614
12433,16.39751019,12.48360833
12450,16.40093786,12.51362839
12467,16.4078151,12.5465322
12483,16.42175306,12.57818989
12500,16.44607606,12.60534606
12517,16.48328751,12.62603186
12533,16.53411137,12.63920594
12550,16.59701697,12.64478756
12567,16.66847576,12.64833201
12583,16.74361684,12.65672771
12600,16.81685117,12.66813388
12617,16.88260762,12.67981965
12633,16.93669152,12.68894418
12650,16.97770187,12.6929038
12667,17.0078739,12.69722662
12683,17.03218812,12.71077304
12700,17.05415527,12.73390248
12717,17.07344353,12.76496466
12733,17.08844128,12.80053925
12750,17.09848904,12.8364797
12767,17.10415435,12.86935513
12783,17.10659648,12.89703625
12800,17.10721465,12.9183525
12817,17.10886846,12.93280393
12833,17.11151171,12.9406529
12850,17.1143719,12.94294396
12867,17.11619088,12.94561765
12883,17.11739676,12.95169303
12900,17.12410919,12.96036274
12917,17.13948019,12.97077457
12933,17.16668062,12.9819121
12950,17.20792138,12.99248439
12967,17.263224,13.00095832
12983,17.32978058,13.00622822
13000,17.40234084,13.01226504
13017,17.47453192,13.02554379
13033,17.54025044,13.04766709
13050,17.59458346,13.07765204
13067,17.63491491,13.11236138
13083,17.66185384,13.14749672
13100,17.67928655,13.17905611
13117,17.69232834,13.20396398
13133,17.70283282,13.21993286
13150,17.70944425,13.22582661
13167,17.71128859,13.23043587
13183,17.71459497,13.24209601
13200,17.71951153,13.25749467
13217,17.72295767,13.27287677
13233,17.72445251,13.28473248
13250,17.72830781,13.29045004
13267,17.73361687,13.29604331
13283,17.73852511,13.31120448
13300,17.7418657,13.33616558
13317,17.74348861,13.36876985
13333,17.74469902,13.40499314
13350,17.7469239,13.43986107
13367,17.74984518,13.46911567
13383,17.75250629,13.49028058
13400,17.75331422,13.50253449
13417,17.7567128,13.50665996
13433,17.76739922,13.51108878
13450,17.78890071,13.52027749
13467,17.8244418,13.53202654
13483,17.87556079,13.54363599
13500,17.94041186,13.5523093
13517,18.01357436,13.55568083
13533,18.08875793,13.56112428
13550,18.16171251,13.57535207
13567,18.23003837,13.59810604
13583,18.29167595,13.62717668
13600,18.34450218,13.65881585
13617,18.38691242,13.6887897
13633,18.41971296,13.71376072
13650,18.44747022,13.73186601
13667,18.47483784,13.74238279
13683,18.5018119,13.74555941
13700,18.52468038,13.74941149
13717,18.53980206,13.75760176
13733,18.54838409,13.76728751
13750,18.55794733,13.77512647
13767,18.56926642,13.77845429
13783,18.57897655,13.78398467
13800,18.58512672,13.79799816
13817,18.58790877,13.82084987
13833,18.58809375,13.85138021
13850,18.59132094,13.8873287
13867,18.60008466,13.92609198
13883,18.61805342,13.96532437
13900,18.64958785,14.00259988
13917,18.69850909,14.0352898
13933,18.76657555,14.06142097
13950,18.85243507,14.08015786
13967,18.95136391,14.09154733
13983,19.05593057,14.09619689
14000,19.15777083,14.09736486
14017,19.24983879,14.10308445
14033,19.32789383,14.11180779
14050,19.39048457,14.12152311
14067,19.43803739,14.12971094
14083,19.47218661,14.13366058
14100,19.49508978,14.13928493
14117,19.50857681,14.15588262
14133,19.51515347,14.18588672
14150,19.52059074,14.22949864
14167,19.52712132,14.28407119
14183,19.53297682,14.34433733
14200,19.53830164,14.40436721
14217,19.54530369,14.45945112
14233,19.55485717,14.50643415
14250,19.56680813,14.5434634
14267,19.58031446,14.56992801
14283,19.59315689,14.58644164
14300,19.60302448,14.59451773
14317,19.61610967,14.59613554
14333,19.64262512,14.60013461
14350,19.68659722,14.60808303
14367,19.74820759,14.61896542
14383,19.82432277,14.63152563
14400,19.90921038,14.64403772
14417,19.99590869,14.65425685
14433,20.07760462,14.65994664
14450,20.14843578,14.66519719
14467,20.20419102,14.67965273
14483,20.24362935,14.70521317
14500,20.27009948,14.74138232
14517,20.28948861,14.78559517
14533,20.30443075,14.83360364
14550,20.31455932,14.88048239
14567,20.31964436,14.92187717
14583,20.32144308,14.95502492
14600,20.32424139,14.97893664
14617,20.32673095,14.99386468
14633,20.32827988,15.00074949
14650,20.33221666,15.0012367
14667,20.33837843,15.00644413
14683,20.34512077,15.015305
14700,20.35075181,15.02593626
14717,20.35466709,15.03613688
14733,20.36076875,15.04352609
14750,20.37447353,15.04598254
14767,20.39981763,15.05182609
14783,20.44011489,15.06668913
14800,20.49694975,15.09097649
14817,20.56917862,15.12329249
14833,20.65262876,15.16054175
14850,20.7408315,15.19875871
14867,20.82652336,15.23436667
14883,20.90312391,15.26485942
14900,20.96568415,15.28862561
14917,21.01168648,15.30474276
14933,21.04242568,15.31328748
14950,21.06341926,15.31555813
14967,21.08060265,15.31887533
14983,21.09579381,15.32539652
15000,21.10924388,15.33352466
